Produção Médica  Hospital São Cristóvão (Benner Saúde)
Médico;Procedimento;Data;Quantidade;Valor Apresentado;Glosa;Valor Pago
Dra. Otávio Câmara;Cirurgia;17/03/2025;7;2.184,91;0,52;2.184,39
Dra. Otávio Brandão;Cirurgia;01/03/2025;4;1.686,32;88,22;1.598,10
Dr. Mônica Brandão;Consulta;20/03/2025;4;3.294,20;532,31;2.761,89
Dr. Verônica Façanha;Avaliação Pré-Anestésica;19/03/2025;1;1.339,19;41,37;1.297,82
Dra. Gonçalo Câmara;Endoscopia;11/03/2025;1;105,74;16,81;88,93
Dr. Tâmara Câmara;Ultrassonografia;10/03/2025;3;2.596,50;335,66;2.260,84
Dra. Gonçalo Gonçalves;Ressonância;25/03/2025;2;2.324,74;278,10;2.046,64
Dr. Letícia Assunção;Raio-X;07/03/2025;4;3.910,12;427,38;3.482,74
Dr. Cecília Brandão;Ultrassonografia;14/03/2025;2;1.468,64;91,58;1.377,06
Dra. Sérgio Façanha;Raio-X;28/03/2025;5;3.973,30;101,35;3.871,95
Dra. Otávio Assunção;Ultrassonografia;08/03/2025;3;3.422,04;208,63;3.213,41
Dra. João Gonçalves;Tomografia;14/03/2025;3;4.052,85;108,94;3.943,91
Dr. Mônica Brandão;Raio-X;23/03/2025;3;3.075,87;288,38;2.787,49
Dra. Gonçalo Façanha;Tomografia;21/03/2025;6;9.327,00;393,70;8.933,30
Dr. Mônica Magalhães;Endoscopia;24/03/2025;5;5.403,50;793,94;4.609,56
Dr. Letícia Gonçalves;Ultrassonografia;03/03/2025;7;10.290,28;141,68;10.148,60
Dr. Tâmara Brandão;Avaliação Pré-Anestésica;27/03/2025;3;3.187,23;315,52;2.871,71
Dr. Antônio Câmara;Endoscopia;19/03/2025;8;5.859,04;680,27;5.178,77
Dra. Sérgio Brandão;Avaliação Pré-Anestésica;27/03/2025;7;1.930,95;84,71;1.846,24
Dr. Cecília Câmara;Ultrassonografia;21/03/2025;2;1.325,74;191,67;1.134,07
Dra. Sérgio Brandão;Ressonância;11/03/2025;6;6.574,62;552,08;6.022,54
Dra. João Brandão;Ressonância;28/03/2025;3;4.212,72;489,71;3.723,01
Dra. Conceição Gonçalves;Ressonância;20/03/2025;7;8.443,40;803,21;7.640,19
Dr. Verônica Gonçalves;Ressonância;05/03/2025;8;5.268,96;162,87;5.106,09
Dr. Cecília Façanha;Endoscopia;16/03/2025;6;2.251,44;114,96;2.136,48
Dr. Mônica Magalhães;Cirurgia;11/03/2025;1;1.134,13;112,13;1.022,00
Dra. Fábio Câmara;Avaliação Pré-Anestésica;18/03/2025;3;3.281,76;585,70;2.696,06
Dra. Fábio Gonçalves;Consulta;12/03/2025;1;1.188,20;133,72;1.054,48
Dr. Mônica Câmara;Raio-X;14/03/2025;8;8.014,56;919,34;7.095,22
Dra. Conceição Assunção;Avaliação Pré-Anestésica;16/03/2025;6;9.135,96;476,55;8.659,41
Dr. Antônio Brandão;Tomografia;21/03/2025;7;2.779,35;434,11;2.345,24
Dra. Otávio Assunção;Avaliação Pré-Anestésica;26/03/2025;2;2.852,00;88,64;2.763,36
Dra. Conceição Assunção;Endoscopia;08/03/2025;7;2.604,49;257,03;2.347,46
Dr. Mônica Façanha;Cirurgia;13/03/2025;1;993,28;163,70;829,58
Dra. Régis Câmara;Tomografia;06/03/2025;4;5.639,60;395,78;5.243,82
Dra. Vinícius Assunção;Cirurgia;23/03/2025;4;1.161,36;155,74;1.005,62
Dra. Gonçalo Assunção;Tomografia;02/03/2025;4;2.579,48;313,13;2.266,35
Dra. João Magalhães;Consulta;02/03/2025;6;6.005,64;462,43;5.543,21
Dr. Inês Câmara;Raio-X;23/03/2025;8;8.988,08;1.386,19;7.601,89
Dr. Cláudia Façanha;Raio-X;23/03/2025;8;11.448,72;774,75;10.673,97
Dra. João Assunção;Consulta;18/03/2025;6;1.833,30;145,59;1.687,71
Dr. Tâmara Façanha;Cirurgia;11/03/2025;7;7.574,84;1.329,79;6.245,05
Dr. Cláudia Assunção;Avaliação Pré-Anestésica;07/03/2025;2;2.823,70;462,91;2.360,79
Dra. Gonçalo Câmara;Ressonância;02/03/2025;1;675,89;20,56;655,33
Dr. Mônica Câmara;Ressonância;27/03/2025;5;4.944,30;110,01;4.834,29
Dra. Sérgio Gonçalves;Raio-X;22/03/2025;2;603,58;17,62;585,96
Dra. Sérgio Câmara;Tomografia;11/03/2025;5;5.912,90;696,82;5.216,08
Dr. Antônio Assunção;Avaliação Pré-Anestésica;07/03/2025;2;2.875,70;417,17;2.458,53
Dr. Cláudia Brandão;Avaliação Pré-Anestésica;26/03/2025;2;2.123,56;27,15;2.096,41
Dra. João Câmara;Consulta;13/03/2025;7;10.438,75;14,06;10.424,69
Dra. Fábio Façanha;Endoscopia;12/03/2025;1;1.518,25;218,35;1.299,90
Dr. Verônica Façanha;Tomografia;02/03/2025;3;587,07;85,29;501,78
Dra. Conceição Gonçalves;Ultrassonografia;08/03/2025;1;148,57;7,43;141,14
Dr. Inês Gonçalves;Tomografia;06/03/2025;8;7.574,40;408,59;7.165,81
Dr. Tâmara Assunção;Endoscopia;04/03/2025;1;647,43;4,86;642,57
Dra. Fábio Brandão;Tomografia;18/03/2025;7;765,59;17,94;747,65
Dra. João Assunção;Ultrassonografia;23/03/2025;5;5.844,45;718,05;5.126,40
Dra. Gonçalo Brandão;Raio-X;04/03/2025;5;2.671,45;447,76;2.223,69
Dra. João Façanha;Raio-X;07/03/2025;1;1.475,71;170,38;1.305,33
Dra. João Câmara;Cirurgia;18/03/2025;7;9.338,98;359,71;8.979,27
Dra. Régis Câmara;Consulta;23/03/2025;3;2.859,81;427,83;2.431,98
Dr. Tâmara Brandão;Endoscopia;04/03/2025;3;1.861,86;309,56;1.552,30
Dr. Letícia Façanha;Consulta;10/03/2025;2;2.055,40;234,80;1.820,60
Dra. Fábio Assunção;Ultrassonografia;22/03/2025;4;4.792,60;257,95;4.534,65
Dra. Vinícius Magalhães;Avaliação Pré-Anestésica;24/03/2025;4;3.153,00;149,91;3.003,09
Dra. João Gonçalves;Consulta;17/03/2025;5;3.106,25;225,20;2.881,05
Dra. Sérgio Magalhães;Raio-X;09/03/2025;2;538,40;21,29;517,11
Dra. Fábio Câmara;Tomografia;04/03/2025;3;1.636,08;3,85;1.632,23
Dr. Inês Façanha;Raio-X;10/03/2025;1;396,02;9,93;386,09
Dra. Conceição Brandão;Raio-X;16/03/2025;7;2.609,25;382,37;2.226,88
Dr. Verônica Assunção;Ressonância;25/03/2025;7;3.088,19;135,18;2.953,01
Dra. Otávio Façanha;Ultrassonografia;17/03/2025;8;9.655,04;266,57;9.388,47
Dr. Inês Câmara;Tomografia;01/03/2025;6;8.384,70;1.425,67;6.959,03
Dra. Régis Magalhães;Ressonância;08/03/2025;3;2.643,84;426,59;2.217,25
Dra. Otávio Gonçalves;Tomografia;15/03/2025;5;2.795,15;230,57;2.564,58
Dra. Sérgio Assunção;Ultrassonografia;24/03/2025;6;6.992,94;915,23;6.077,71
Dr. Verônica Façanha;Ressonância;13/03/2025;8;1.469,60;115,64;1.353,96
Dra. Régis Brandão;Avaliação Pré-Anestésica;12/03/2025;2;1.587,02;28,33;1.558,69
Dr. Letícia Assunção;Cirurgia;24/03/2025;5;5.198,05;516,67;4.681,38
Dra. Régis Gonçalves;Ressonância;06/03/2025;3;4.499,10;749,81;3.749,29
Dra. Gonçalo Gonçalves;Ressonância;01/03/2025;6;2.121,54;238,35;1.883,19
Dr. Tâmara Gonçalves;Raio-X;19/03/2025;8;2.747,60;329,63;2.417,97
Dr. Mônica Façanha;Endoscopia;10/03/2025;3;4.058,43;498,43;3.560,00
Dr. Inês Assunção;Tomografia;02/03/2025;6;1.504,62;184,47;1.320,15
Dr. Inês Façanha;Raio-X;16/03/2025;7;1.034,25;142,68;891,57
Dr. Tâmara Câmara;Avaliação Pré-Anestésica;02/03/2025;8;10.624,80;55,42;10.569,38
Dr. Antônio Brandão;Ressonância;02/03/2025;6;789,96;121,57;668,39
Dr. Verônica Câmara;Raio-X;12/03/2025;5;4.410,55;556,17;3.854,38
Dra. Gonçalo Brandão;Endoscopia;01/03/2025;3;2.346,69;25,13;2.321,56
Dra. João Façanha;Endoscopia;09/03/2025;3;1.051,11;33,76;1.017,35
Dr. Tâmara Brandão;Ressonância;10/03/2025;1;837,86;17,40;820,46
Dr. Mônica Brandão;Ressonância;04/03/2025;1;650,90;80,47;570,43
Dra. João Assunção;Cirurgia;16/03/2025;2;1.059,22;183,25;875,97
Dra. Vinícius Brandão;Avaliação Pré-Anestésica;27/03/2025;4;5.409,08;728,78;4.680,30
Dra. Otávio Gonçalves;Ultrassonografia;08/03/2025;7;8.604,96;547,41;8.057,55
Dr. Tâmara Façanha;Avaliação Pré-Anestésica;05/03/2025;2;2.174,94;310,59;1.864,35
Dra. Otávio Façanha;Consulta;08/03/2025;6;4.829,22;635,29;4.193,93
Dr. Tâmara Façanha;Cirurgia;19/03/2025;2;2.491,20;54,73;2.436,47
Dra. Fábio Brandão;Ultrassonografia;23/03/2025;5;3.915,75;477,00;3.438,75
Dra. Vinícius Brandão;Ultrassonografia;12/03/2025;3;765,39;14,24;751,15
Dr. Antônio Magalhães;Cirurgia;09/03/2025;1;1.102,86;10,56;1.092,30
Dra. Conceição Façanha;Ressonância;24/03/2025;3;3.474,72;312,14;3.162,58
Dr. Letícia Gonçalves;Ressonância;07/03/2025;3;2.201,04;306,97;1.894,07
Dra. Fábio Câmara;Consulta;19/03/2025;8;9.509,44;280,78;9.228,66
Dr. Tâmara Brandão;Raio-X;17/03/2025;1;671,80;20,85;650,95
Dra. Régis Magalhães;Consulta;22/03/2025;5;5.217,95;362,44;4.855,51
Dr. Cláudia Magalhães;Ultrassonografia;14/03/2025;3;2.351,94;165,36;2.186,58
Dr. Cláudia Assunção;Ultrassonografia;13/03/2025;4;679,92;80,68;599,24
Dra. Régis Câmara;Avaliação Pré-Anestésica;06/03/2025;5;3.856,20;219,67;3.636,53
Dra. Régis Câmara;Tomografia;17/03/2025;7;7.136,08;61,89;7.074,19
Dr. Verônica Gonçalves;Ressonância;07/03/2025;8;6.291,04;686,56;5.604,48
Dr. Inês Gonçalves;Ressonância;28/03/2025;1;307,72;3,28;304,44
Dra. Gonçalo Câmara;Ultrassonografia;11/03/2025;4;5.612,60;756,31;4.856,29
Dr. Letícia Assunção;Tomografia;10/03/2025;4;3.688,88;661,60;3.027,28
Dr. Tâmara Magalhães;Endoscopia;17/03/2025;7;642,25;6,86;635,39
Dra. Otávio Assunção;Raio-X;24/03/2025;3;2.634,99;26,99;2.608,00
Dr. Inês Brandão;Cirurgia;18/03/2025;7;9.592,80;278,50;9.314,30
Dra. Otávio Assunção;Consulta;04/03/2025;4;1.141,28;103,82;1.037,46
Dra. Gonçalo Câmara;Avaliação Pré-Anestésica;23/03/2025;4;2.702,76;484,45;2.218,31
Dra. Vinícius Câmara;Avaliação Pré-Anestésica;18/03/2025;5;2.853,85;20,95;2.832,90
Dr. Letícia Câmara;Ultrassonografia;21/03/2025;4;3.136,80;342,16;2.794,64
Dra. Régis Gonçalves;Consulta;28/03/2025;3;2.939,52;275,76;2.663,76
Dr. Antônio Câmara;Ultrassonografia;23/03/2025;8;2.605,76;413,15;2.192,61
Dra. Otávio Gonçalves;Ultrassonografia;10/03/2025;5;2.389,55;71,23;2.318,32
Dra. Sérgio Assunção;Tomografia;25/03/2025;1;1.028,53;106,04;922,49
Dra. Conceição Brandão;Tomografia;10/03/2025;5;7.468,15;58,64;7.409,51
Dra. Vinícius Brandão;Avaliação Pré-Anestésica;19/03/2025;3;329,37;5,86;323,51
Dr. Cecília Gonçalves;Consulta;23/03/2025;3;599,79;61,62;538,17
Dra. Otávio Câmara;Tomografia;11/03/2025;4;726,00;116,33;609,67
Dr. Verônica Magalhães;Cirurgia;21/03/2025;3;2.211,81;141,90;2.069,91
Dr. Letícia Câmara;Tomografia;20/03/2025;1;1.551,83;212,04;1.339,79
Dra. Vinícius Câmara;Ultrassonografia;23/03/2025;7;5.772,06;359,00;5.413,06
Dr. Inês Câmara;Consulta;06/03/2025;2;1.226,52;178,48;1.048,04
Dr. Tâmara Gonçalves;Consulta;24/03/2025;4;2.020,04;213,32;1.806,72
Dr. Cláudia Assunção;Ressonância;08/03/2025;4;2.813,08;147,20;2.665,88
Dr. Letícia Câmara;Ultrassonografia;24/03/2025;4;4.382,08;259,29;4.122,79
Dr. Verônica Magalhães;Avaliação Pré-Anestésica;13/03/2025;8;4.268,08;299,89;3.968,19
Dra. Gonçalo Assunção;Endoscopia;14/03/2025;7;4.868,78;791,71;4.077,07
Dr. Cláudia Gonçalves;Endoscopia;19/03/2025;6;4.517,52;189,55;4.327,97
Dra. Otávio Gonçalves;Raio-X;02/03/2025;2;1.605,32;232,06;1.373,26
Dra. Otávio Câmara;Ressonância;15/03/2025;5;2.930,65;296,94;2.633,71
Dra. Conceição Assunção;Avaliação Pré-Anestésica;02/03/2025;7;7.621,04;554,38;7.066,66
Dr. Antônio Magalhães;Raio-X;03/03/2025;6;8.956,62;89,14;8.867,48
Dra. Otávio Façanha;Avaliação Pré-Anestésica;02/03/2025;5;4.844,60;616,04;4.228,56
Dra. João Câmara;Ressonância;17/03/2025;5;5.296,30;514,63;4.781,67
Dr. Tâmara Gonçalves;Endoscopia;20/03/2025;8;10.424,00;1.588,21;8.835,79
Dra. João Magalhães;Cirurgia;02/03/2025;1;1.085,54;132,44;953,10
Dra. Sérgio Assunção;Avaliação Pré-Anestésica;26/03/2025;2;535,00;37,45;497,55
Dra. Conceição Câmara;Ultrassonografia;10/03/2025;3;1.232,73;34,51;1.198,22
Dr. Letícia Brandão;Raio-X;27/03/2025;4;4.300,72;464,23;3.836,49
Dra. Vinícius Assunção;Raio-X;14/03/2025;4;1.919,12;172,73;1.746,39
Dra. João Magalhães;Cirurgia;22/03/2025;7;843,78;86,13;757,65
Dra. Vinícius Assunção;Raio-X;12/03/2025;4;5.037,72;371,22;4.666,50
Dra. Régis Brandão;Endoscopia;04/03/2025;3;676,05;65,69;610,36
Dra. Fábio Gonçalves;Ultrassonografia;25/03/2025;7;5.323,85;505,92;4.817,93
Dra. Conceição Gonçalves;Ressonância;13/03/2025;1;521,86;25,98;495,88
Dr. Antônio Câmara;Avaliação Pré-Anestésica;13/03/2025;7;9.153,83;1.433,93;7.719,90
Dra. Sérgio Gonçalves;Ultrassonografia;24/03/2025;4;6.140,84;672,65;5.468,19
Dr. Cecília Gonçalves;Ultrassonografia;25/03/2025;6;7.406,40;1.114,48;6.291,92
Dr. Cláudia Gonçalves;Cirurgia;19/03/2025;2;1.127,86;53,77;1.074,09
Dra. Vinícius Brandão;Avaliação Pré-Anestésica;07/03/2025;2;2.986,30;447,37;2.538,93
Dra. Gonçalo Câmara;Cirurgia;16/03/2025;8;3.469,60;356,57;3.113,03
Dra. Conceição Magalhães;Raio-X;18/03/2025;2;3.021,96;227,43;2.794,53
Dr. Tâmara Gonçalves;Ressonância;20/03/2025;1;995,22;65,50;929,72
Dr. Verônica Câmara;Cirurgia;10/03/2025;6;1.434,48;168,34;1.266,14
Dr. Verônica Câmara;Cirurgia;21/03/2025;5;1.375,70;133,21;1.242,49
Dr. Antônio Assunção;Tomografia;15/03/2025;1;601,05;42,89;558,16
Dr. Letícia Assunção;Raio-X;19/03/2025;4;2.387,60;15,88;2.371,72
Dr. Cláudia Gonçalves;Tomografia;15/03/2025;7;9.284,66;1.161,96;8.122,70
Dr. Mônica Gonçalves;Ressonância;21/03/2025;7;5.178,25;724,18;4.454,07
Dr. Letícia Assunção;Avaliação Pré-Anestésica;14/03/2025;5;3.610,10;397,69;3.212,41
Dr. Cecília Câmara;Endoscopia;16/03/2025;5;6.282,55;276,39;6.006,16
Dr. Cecília Façanha;Raio-X;13/03/2025;2;379,96;2,21;377,75
Dr. Mônica Gonçalves;Ultrassonografia;25/03/2025;7;1.180,20;66,40;1.113,80
Dr. Mônica Assunção;Consulta;01/03/2025;8;11.896,16;1.526,59;10.369,57
Dra. Vinícius Assunção;Raio-X;16/03/2025;8;9.351,92;1.446,23;7.905,69
Dra. Vinícius Magalhães;Tomografia;27/03/2025;5;3.903,95;377,15;3.526,80
Dra. Régis Magalhães;Ultrassonografia;26/03/2025;8;2.337,04;333,14;2.003,90
Dr. Verônica Câmara;Consulta;15/03/2025;6;9.445,02;476,37;8.968,65
Dra. Vinícius Façanha;Ultrassonografia;03/03/2025;1;1.305,75;27,48;1.278,27
Dra. Sérgio Câmara;Ultrassonografia;05/03/2025;5;3.992,15;119,34;3.872,81
Dra. Régis Magalhães;Avaliação Pré-Anestésica;07/03/2025;3;2.043,57;262,99;1.780,58
Dr. Cecília Assunção;Raio-X;11/03/2025;1;1.573,42;266,40;1.307,02
Dra. Vinícius Brandão;Endoscopia;28/03/2025;3;3.225,48;190,24;3.035,24
Dr. Inês Câmara;Consulta;05/03/2025;8;3.119,52;165,84;2.953,68
Dr. Verônica Brandão;Cirurgia;25/03/2025;4;5.470,00;809,34;4.660,66
Dra. Fábio Brandão;Endoscopia;01/03/2025;1;235,65;4,21;231,44
Dr. Verônica Façanha;Ressonância;09/03/2025;5;5.638,85;573,16;5.065,69
Dr. Mônica Gonçalves;Ultrassonografia;08/03/2025;5;5.259,05;627,61;4.631,44
Dra. João Câmara;Tomografia;20/03/2025;7;731,85;13,04;718,81
Dr. Verônica Magalhães;Consulta;28/03/2025;4;5.880,52;875,37;5.005,15
Dra. Régis Gonçalves;Consulta;27/03/2025;2;1.802,10;224,54;1.577,56
Dra. Conceição Gonçalves;Cirurgia;21/03/2025;7;8.672,79;835,51;7.837,28
Dr. Cecília Gonçalves;Consulta;07/03/2025;1;775,73;54,14;721,59
Dr. Mônica Brandão;Endoscopia;05/03/2025;7;4.235,21;489,69;3.745,52
Dr. Cláudia Gonçalves;Tomografia;12/03/2025;1;588,44;20,73;567,71
Dra. João Brandão;Tomografia;02/03/2025;6;6.605,76;633,95;5.971,81
Dra. João Câmara;Avaliação Pré-Anestésica;11/03/2025;8;11.149,04;314,54;10.834,50
Dra. Conceição Assunção;Tomografia;19/03/2025;5;5.285,30;461,55;4.823,75
Dra. Régis Câmara;Ressonância;28/03/2025;2;2.969,46;382,21;2.587,25
Dra. Otávio Câmara;Endoscopia;22/03/2025;7;1.415,47;22,00;1.393,47
Dra. Gonçalo Gonçalves;Endoscopia;11/03/2025;3;2.214,06;337,19;1.876,87
Dra. João Câmara;Consulta;03/03/2025;1;1.280,19;117,87;1.162,32
Dr. Mônica Assunção;Consulta;12/03/2025;7;6.637,68;256,55;6.381,13
Dr. Cecília Façanha;Raio-X;13/03/2025;4;5.679,64;12,85;5.666,79
Dra. Régis Façanha;Ressonância;13/03/2025;7;11.010,44;1.634,39;9.376,05
Dra. Vinícius Assunção;Avaliação Pré-Anestésica;09/03/2025;8;1.123,12;140,09;983,03
Dra. Fábio Assunção;Ressonância;26/03/2025;6;6.338,40;979,34;5.359,06
Dr. Inês Gonçalves;Tomografia;27/03/2025;5;3.225,85;251,91;2.973,94
Dra. João Gonçalves;Ultrassonografia;27/03/2025;1;1.285,76;179,33;1.106,43
Dra. Régis Façanha;Ultrassonografia;21/03/2025;6;3.496,56;610,28;2.886,28
Dra. Conceição Magalhães;Avaliação Pré-Anestésica;05/03/2025;5;4.340,45;463,27;3.877,18
Dr. Mônica Brandão;Cirurgia;25/03/2025;6;7.130,04;856,48;6.273,56
Dra. Otávio Câmara;Cirurgia;01/03/2025;5;4.794,70;504,25;4.290,45
Dr. Inês Câmara;Raio-X;22/03/2025;7;10.841,25;131,69;10.709,56
Dra. Conceição Gonçalves;Avaliação Pré-Anestésica;09/03/2025;5;6.021,15;98,06;5.923,09
Dr. Verônica Gonçalves;Ressonância;12/03/2025;8;1.981,20;31,36;1.949,84
Dra. Gonçalo Façanha;Tomografia;03/03/2025;4;748,32;30,52;717,80
Dra. Gonçalo Brandão;Raio-X;24/03/2025;4;1.912,92;309,46;1.603,46
Dra. João Magalhães;Endoscopia;24/03/2025;4;3.536,92;214,36;3.322,56
Dra. Fábio Brandão;Ressonância;05/03/2025;7;6.172,53;418,86;5.753,67
Dra. Gonçalo Façanha;Tomografia;21/03/2025;2;1.504,58;6,26;1.498,32
Dr. Tâmara Magalhães;Endoscopia;08/03/2025;5;7.017,75;1.242,25;5.775,50
Dra. João Gonçalves;Cirurgia;20/03/2025;1;994,25;51,84;942,41
Dr. Cláudia Magalhães;Endoscopia;07/03/2025;1;220,81;1,78;219,03
Dra. Conceição Assunção;Consulta;04/03/2025;7;9.453,78;1.212,27;8.241,51
Dra. João Gonçalves;Raio-X;02/03/2025;5;2.437,95;433,29;2.004,66
Dr. Inês Assunção;Ultrassonografia;26/03/2025;3;1.127,49;114,42;1.013,07
Dr. Cecília Brandão;Ressonância;15/03/2025;5;5.052,55;585,84;4.466,71
Dra. Vinícius Façanha;Endoscopia;11/03/2025;8;7.677,76;769,38;6.908,38
Dr. Mônica Câmara;Cirurgia;23/03/2025;2;591,12;93,22;497,90
Dr. Mônica Façanha;Raio-X;10/03/2025;2;2.525,76;56,57;2.469,19
Dr. Cláudia Câmara;Endoscopia;10/03/2025;8;8.453,84;780,52;7.673,32
Dr. Verônica Brandão;Avaliação Pré-Anestésica;09/03/2025;1;1.551,04;251,81;1.299,23
Dra. Vinícius Gonçalves;Ressonância;03/03/2025;4;4.060,44;158,23;3.902,21
Dr. Letícia Façanha;Tomografia;03/03/2025;3;2.061,24;246,88;1.814,36
Dr. Letícia Câmara;Avaliação Pré-Anestésica;10/03/2025;6;1.911,66;110,57;1.801,09
Dr. Tâmara Gonçalves;Ressonância;01/03/2025;3;3.093,27;60,42;3.032,85
Dr. Antônio Brandão;Consulta;15/03/2025;6;488,70;18,27;470,43
Dr. Tâmara Brandão;Consulta;04/03/2025;3;1.848,57;50,83;1.797,74
Dra. Vinícius Assunção;Ressonância;28/03/2025;1;1.462,88;245,13;1.217,75
Dra. Vinícius Façanha;Cirurgia;09/03/2025;5;2.012,25;127,54;1.884,71
Dra. Régis Gonçalves;Raio-X;10/03/2025;3;486,57;69,40;417,17
Dra. Sérgio Brandão;Avaliação Pré-Anestésica;08/03/2025;4;1.884,24;281,73;1.602,51
